subscriber,income,age,var1,gender,house_type,lastVisit,product02
62,132322.5,59.00621,-0.7387351,m,RENTAL,1/14/2012 5:07,Nee
63,63738.31,21.62622,3.292232,m,OWNER,1/14/2012 11:23,Nee
64,89118.7,NA,-1.621818,NA,RENTAL,1/14/2012 12:40,Nee
65,89118.7,64.52304,-1.621818,m,RENTAL,1/14/2012 12:40,Nee
66,148105.5,69.11538,-1.348712,NA,RENTAL,1/14/2012 13:13,Nee
67,148105.5,69.11538,-1.348712,m,RENTAL,1/14/2012 13:13,Nee
68,250018.7,51.98731,0.786297,m,OWNER,1/14/2012 16:32,Nee
69,315797.6,46.36613,-0.09001745,f,RENTAL,1/15/2012 4:24,Nee
70,27981.1,34.85847,0.004364538,m,OWNER,1/15/2012 7:16,Nee
71,10931.31261,24.19257941,0.143204619,m,OWNER,1/15/2012 9:29,Nee
72,238088.4,42.53246,0.9095945,f,OWNER,1/15/2012 11:21,Ja
73,314936.5,35.40904,-0.554878,f,RENTAL,1/15/2012 17:45,Ja
74,NA,NA,-0.6036111,m,RENTAL,1/15/2012 21:27,Ja
75,43560.43,46.04706,-0.6036111,m,RENTAL,1/15/2012 21:27,Ja
76,78839.13,NA,-0.8185326,m,NA,1/16/2012 3:02,Ja
77,78839.13,50.92212,-0.8185326,m,RENTAL,1/16/2012 3:02,Ja
78,379465,38.3687,3.264876,f,OWNER,1/16/2012 8:46,Ja
79,223454.1,38.37349,2.642694,f,OWNER,1/16/2012 9:11,Nee
80,165279.9,71.48361,-0.3849671,f,RENTAL,1/16/2012 17:57,Ja
81,73445.51543,21.97387242,2.210883531,m,OWNER,1/17/2012 5:25,Nee
82,20815.98853,27.84779103,0.347139947,m,OWNER,1/17/2012 15:02,Ja
83,236637.5,54.53552,0.7627857,f,OWNER,1/18/2012 3:29,Nee
84,165583.4,72.02514,-0.7525635,f,RENTAL,1/18/2012 4:31,Nee
85,139654.5,50.7125,1.555455,f,OWNER,1/18/2012 9:32,Ja
86,48856.01,38.05706,0.009608779,m,OWNER,1/18/2012 10:06,Nee
87,52893.2,25.15337,0.7861794,m,OWNER,1/18/2012 16:31,Nee
88,174919.8,49.65313,0.2277099,f,OWNER,1/18/2012 17:54,Nee
89,24515.25,23.79644,1.262507,m,OWNER,1/19/2012 1:28,Ja
90,NA,76.5926,-1.883268,NA,NA,1/19/2012 2:23,Ja
91,182058.4,76.5926,-1.883268,m,RENTAL,1/19/2012 2:23,Ja
92,208335.3,81.93521,-0.4510343,f,RENTAL,1/19/2012 6:23,Ja
93,69412.44,65.42634,-0.57469,f,RENTAL,1/19/2012 11:27,Nee
94,178950.2,67.6894,-0.7917312,f,RENTAL,1/19/2012 14:34,Nee
95,6502.621529,19.23701552,1.518226808,m,OWNER,1/19/2012 14:39,Nee
96,43140.22082,36.49466624,0.100839255,m,OWNER,1/19/2012 17:14,Ja
97,168672,71.72611,0.5379723,f,OWNER,1/19/2012 21:33,Ja
98,177206.2,47.34736,-2.163187,f,RENTAL,1/20/2012 9:11,Nee
99,8025.770956,40.30103756,-1.578911143,m,RENTAL,1/20/2012 9:41,Nee
100,28867.57964,27.92119434,0.566089493,m,OWNER,1/20/2012 20:44,Nee
101,42175.15,43.73127,-0.6317205,m,RENTAL,1/21/2012 5:07,Nee
102,56585.32,30.51824,0.6128262,m,OWNER,1/21/2012 8:28,Ja
103,NA,50.83939,NA,NA,RENTAL,1/21/2012 15:42,Nee
104,107547.5,50.83939,-0.5058463,m,RENTAL,1/21/2012 15:42,Nee
105,11670.69,33.82341,-0.9258521,m,RENTAL,1/21/2012 22:39,Ja
106,124605.5,39.80181,0.9401419,m,OWNER,1/22/2012 20:15,Nee
107,18135.99,19.36745,2.587949,m,OWNER,1/23/2012 2:39,Ja
108,190817.6,60.2611,0.2932716,f,OWNER,1/23/2012 4:35,Ja
109,20034.65609,19.47605751,2.528109276,m,OWNER,1/23/2012 17:58,Ja
110,258023.7,67.75342,-4.534782,f,RENTAL,1/23/2012 20:30,Ja
111,130998.9,54.85963,NA,NA,RENTAL,1/23/2012 23:10,Nee
112,130998.9,54.85963,-0.1154702,m,RENTAL,1/23/2012 23:10,Nee
113,406492.5,93.22562,-2.090204,f,RENTAL,1/24/2012 7:53,Ja
114,175366.1,33.03968,2.312756,m,OWNER,1/24/2012 14:50,Nee
115,NA,NA,-0.2064415,m,NA,1/24/2012 22:07,Nee
116,107013.5,50.26804,-0.2064415,m,RENTAL,1/24/2012 22:07,Nee
117,43659.3,37.10537,-0.03129026,m,RENTAL,1/24/2012 22:12,Nee
118,44294.7,43.21659,-0.2394136,m,RENTAL,1/25/2012 2:12,Nee
119,177950.9,42.56532,3.59379,f,OWNER,1/25/2012 5:26,Ja
120,98014.55328,37.27021678,0.379388632,m,OWNER,1/25/2012 6:36,Nee
121,93145.03,43.52434,-0.2603479,f,RENTAL,1/25/2012 12:58,Nee
122,252990,82.75081,3.151046,f,OWNER,1/25/2012 16:42,Ja
123,219655.3,62.93408,0.5015689,f,OWNER,1/26/2012 11:50,Ja
124,NA,51.83836765,-0.924816234,NA,NA,1/26/2012 14:00,Ja
125,56660.61979,51.83836765,-0.924816234,m,RENTAL,1/26/2012 14:00,Ja
126,19233.66,20.10126,2.329258,m,OWNER,1/27/2012 3:58,Ja
127,19584.01,NA,NA,m,NA,1/27/2012 7:58,Nee
128,19584.01,56.56447,-2.208086,m,RENTAL,1/27/2012 7:58,Nee
129,97985.92,37.25742,0.4030184,m,OWNER,1/27/2012 21:02,Nee
130,88753.81,60.73337,-1.354435,m,RENTAL,1/27/2012 22:38,Nee
131,88753.81,60.73337,-1.354435,m,RENTAL,1/27/2012 22:38,Nee
132,35109.63,39.18705,-0.3994101,m,RENTAL,1/28/2012 4:21,Nee
133,114823.3,38.65674,0.4313041,m,OWNER,1/28/2012 13:25,Nee
134,343852.7,78.13519,-1.360789,f,RENTAL,1/28/2012 13:39,Ja
135,88321.03,39.05371,-0.2506742,f,RENTAL,1/29/2012 12:26,Ja
136,11774.06,28.39772,-0.1640777,m,RENTAL,1/29/2012 16:05,Ja
137,309360.5,47.89751,1.210659,f,OWNER,1/29/2012 23:22,Ja
138,76093.03,33.8021,0.395887,m,OWNER,1/29/2012 23:37,Nee
139,35376.1,25.77019,1.046525,m,OWNER,1/30/2012 7:13,Ja
140,96448.99,45.47208,0.1039731,f,OWNER,1/30/2012 12:46,Nee
141,44364.27882,31.4850957,0.296986442,m,OWNER,1/30/2012 17:19,Nee
142,NA,45.12651,NA,NA,NA,1/31/2012 18:52,Ja
143,29310.95,45.12651,-1.157051,m,RENTAL,1/31/2012 18:52,Ja
144,44295.48,NA,NA,m,RENTAL,1/31/2012 22:28,Nee
145,44295.48,45.76562,-0.9893739,m,RENTAL,1/31/2012 22:28,Nee
146,191356.8,50.12456,1.20363,f,OWNER,1/31/2012 22:53,Nee
147,35653.95,28.52043,0.7352704,m,OWNER,2/1/2012 1:09,Nee
148,76982.64,57.96801,0.009901264,f,OWNER,2/1/2012 1:26,Nee
149,21691.13,25.86309,1.085513,m,OWNER,2/1/2012 3:44,Nee
150,109338.3,26.62325,0.1765808,f,OWNER,2/1/2012 5:51,Nee
151,28589.40653,23.6264476,1.13121258,m,OWNER,2/1/2012 7:29,Ja
152,93181.9,32.71587,0.1991961,f,OWNER,2/1/2012 20:19,Nee
153,211283,31.41183,1.130504,f,OWNER,2/2/2012 12:19,Nee
154,83939.54,31.21807,1.043224,m,OWNER,2/2/2012 13:54,Ja
155,96587.53,60.84132,-1.661744,f,RENTAL,2/2/2012 19:08,Nee
156,156225.5,57.09307,0.5362693,f,OWNER,2/3/2012 2:26,Nee
157,NA,62.01009,-1.063928,m,RENTAL,2/3/2012 3:32,Nee
158,124443.4,62.01009,-1.063928,m,RENTAL,2/3/2012 3:32,Nee
159,NA,NA,NA,m,NA,2/3/2012 12:16,Nee
160,67403.95,49.91402,-0.6899129,m,RENTAL,2/3/2012 12:16,Nee
161,122489.3,42.86707,-0.1681789,m,RENTAL,2/3/2012 13:34,Ja
162,80214.55,40.35422,0.1555408,m,OWNER,2/3/2012 13:59,Nee
163,124951.1,62.10772,-0.245334,f,RENTAL,2/3/2012 14:08,Nee
164,12836.29,33.40272,-0.1985753,m,RENTAL,2/3/2012 14:59,Nee
165,44707.51,NA,NA,m,NA,2/3/2012 19:06,Nee
166,44707.51,48.31625,-1.130543,m,RENTAL,2/3/2012 19:06,Nee
167,74037.01,58.3565,-1.325573,m,NA,2/3/2012 19:10,Nee
168,74037.01,58.3565,-1.325573,m,RENTAL,2/3/2012 19:10,Nee
169,NA,79.37749,-3.916553,NA,NA,2/4/2012 1:29,Nee
170,63563.75,79.37749,-3.916553,m,RENTAL,2/4/2012 1:29,Nee
171,143803.8,NA,-0.7391336,m,NA,2/4/2012 5:48,Nee
172,143803.8,61.39397,-0.7391336,m,RENTAL,2/4/2012 5:48,Nee
173,126294.5,NA,-0.5370918,NA,NA,2/4/2012 10:40,Nee
174,126294.5,57.07002,-0.5370918,m,RENTAL,2/4/2012 10:40,Nee
175,402111.9,69.22862,0.3699781,f,OWNER,2/4/2012 13:25,Ja
176,37993.59,41.06167,-0.6764719,m,RENTAL,2/4/2012 20:01,Nee
177,134326.8,55.61221,0.1696174,f,OWNER,2/5/2012 1:05,Nee
178,258111.8,62.70297,0.8128105,f,OWNER,2/5/2012 2:28,Ja
179,285333.4,66.51906,1.28983,f,OWNER,2/5/2012 2:51,Nee
180,71366.76,36.6996,-0.8816833,f,RENTAL,2/5/2012 4:40,Ja
181,21994.35576,26.78580575,0.300157097,m,OWNER,2/5/2012 6:30,Nee
182,136790.7,44.32926,-0.2468268,f,RENTAL,2/5/2012 9:26,Nee
183,267385.3,68.47773,-0.1459402,f,RENTAL,2/5/2012 11:33,Ja
184,215597.8,58.74745,0.5040312,f,OWNER,2/5/2012 21:49,Nee
185,70541.41,30.37611,0.9589206,m,OWNER,2/6/2012 0:48,Ja
186,254120.3,46.84446,-0.01949172,f,RENTAL,2/6/2012 4:52,Ja
187,37378.08,NA,-0.7343463,NA,RENTAL,2/6/2012 9:24,Ja
188,37378.08,48.13856,-0.7343463,m,RENTAL,2/6/2012 9:24,Ja
189,294298.7,69.48026,0.1073181,f,OWNER,2/6/2012 12:30,Nee
190,197654.2,98.18059,-5.082864,f,RENTAL,2/6/2012 15:55,Nee
191,NA,56.6981,-1.154957,m,RENTAL,2/7/2012 0:19,Nee
192,70276.85,56.6981,-1.154957,m,RENTAL,2/7/2012 0:19,Nee
193,43672.51,33.08843,0.254919,m,OWNER,2/7/2012 9:23,Nee
194,41359.46,40.71641,-0.3060531,m,RENTAL,2/7/2012 9:28,Nee
195,21152.7,30.301,0.1842598,m,OWNER,2/7/2012 14:14,Ja
196,49780.81,26.88652,0.8352752,m,OWNER,2/7/2012 14:39,Ja
197,104948,26.5138,2.085337,m,OWNER,2/7/2012 15:48,Nee
198,NA,NA,-0.0756568,m,NA,2/7/2012 16:14,Nee
199,136928.2,51.11963,-0.0756568,m,RENTAL,2/7/2012 16:14,Nee
200,187812.3,38.33277,1.3497,f,OWNER,2/7/2012 22:07,Nee
201,75610.88,63.1142,-0.473851,f,RENTAL,2/8/2012 13:00,Nee
202,50910.81,35.31971,0.2272679,m,OWNER,2/8/2012 16:33,Nee
203,NA,56.22966,-1.927529,NA,RENTAL,2/8/2012 19:38,Nee
204,35000.79,56.22966,-1.927529,m,RENTAL,2/8/2012 19:38,Nee
205,60106.74,45.51863,-0.7150956,m,RENTAL,2/9/2012 6:39,Ja
206,60106.74,45.51863,-0.7150956,m,RENTAL,2/9/2012 6:39,Ja
207,11034.10977,29.89233155,-0.261815936,m,RENTAL,2/9/2012 11:19,Nee
208,43060.07,35.65358,0.08818323,m,OWNER,2/9/2012 17:24,Ja
209,228905.1,53.25236,-0.5571541,f,RENTAL,2/9/2012 22:16,Ja
210,14428.11,38.20527,-0.959395,m,RENTAL,2/10/2012 1:11,Nee
211,148764.7,33.22731,0.4446013,f,OWNER,2/10/2012 1:34,Ja
212,11923.01,24.54038,0.1928288,m,OWNER,2/10/2012 5:46,Nee
213,59918.03,30.26861,0.671327,m,OWNER,2/10/2012 8:45,Ja
214,128707.3,62.05503,-0.989,f,RENTAL,2/10/2012 12:59,Nee
215,217505.2,38.91195,0.2968527,f,OWNER,2/10/2012 14:58,Nee
216,56001.93,45.67274,-0.5164272,NA,RENTAL,2/10/2012 16:47,Nee
217,56001.93,45.67274,-0.5164272,m,RENTAL,2/10/2012 16:47,Nee
218,28336.07,24.80473,0.7534018,m,OWNER,2/11/2012 2:36,Ja
219,66316.98,32.27153,1.05056,m,OWNER,2/11/2012 3:43,Nee
220,316746,63.787,7.181655,f,OWNER,2/11/2012 5:26,Ja
221,202810.1,39.72818,1.177076,f,OWNER,2/11/2012 15:20,Ja
222,238770.1,61.40576,-0.6804123,f,RENTAL,2/11/2012 15:59,Nee
223,97511.31798,37.86997276,0.642545513,m,OWNER,2/11/2012 17:02,Ja
224,209579.4,57.56449,0.7915004,f,OWNER,2/11/2012 18:07,Ja
225,NA,NA,-1.107957,m,RENTAL,2/12/2012 4:09,Ja
226,126389.6,61.24119,-1.107957,m,RENTAL,2/12/2012 4:09,Ja
227,150600.6,68.49206,-0.7256148,f,RENTAL,2/12/2012 5:47,Nee
228,12055.72,36.88638,-1.010468,m,RENTAL,2/12/2012 7:50,Nee
229,154397.5,28.45625,-0.1213838,f,RENTAL,2/12/2012 12:47,Nee
230,48851.57,22.85258,2.17563,m,OWNER,2/12/2012 22:04,Nee
231,169375.6,38.99669,-0.4373508,f,RENTAL,2/13/2012 9:46,Nee
232,99742.73,65.7623,-2.982555,f,RENTAL,2/13/2012 16:46,Nee
233,315954.4,60.4904,0.9140039,f,OWNER,2/14/2012 6:16,Ja
234,48119.14,38.90978,-0.1216685,m,RENTAL,2/14/2012 9:34,Nee
235,130255.2,41.44274,1.387408,f,OWNER,2/14/2012 10:42,Nee
236,41973.18,26.80258,0.9231313,m,OWNER,2/14/2012 15:14,Nee
237,221719.2,45.94805,3.414351,f,OWNER,2/14/2012 15:22,Nee
238,NA,69.8654,-1.276885,m,RENTAL,2/14/2012 23:07,Nee
239,154904.7,69.8654,-1.276885,m,RENTAL,2/14/2012 23:07,Nee
240,NA,NA,-1.94082,m,RENTAL,2/15/2012 0:46,Nee
241,16603.2,52.32035,-1.94082,m,RENTAL,2/15/2012 0:46,Nee
242,29118.65278,26.07270612,0.77624596,m,OWNER,2/15/2012 11:38,Nee
243,239486.1,60.58072,1.263913,f,OWNER,2/15/2012 14:39,Nee
244,140527.7,63.23402,0.130311,f,OWNER,2/15/2012 17:33,Nee
245,NA,NA,NA,m,NA,2/16/2012 2:50,Nee
246,94979.42,55.74199,-0.6220852,m,RENTAL,2/16/2012 2:50,Nee
247,158436.5,36.64934,0.59813,f,OWNER,2/16/2012 2:58,Nee
248,12519.25416,25.35524312,0.195877139,m,OWNER,2/16/2012 3:37,Ja
249,145883.8,72.67896,0.3828246,f,OWNER,2/16/2012 17:22,Nee
250,117738.3,75.4018,-1.30743,f,RENTAL,2/17/2012 2:33,Nee
251,131530.6,65.14456,0.08629779,f,OWNER,2/17/2012 13:20,Nee
252,92695.37,46.74378,-0.5972099,f,RENTAL,2/17/2012 13:54,Nee
253,168942.8,NA,NA,m,RENTAL,2/17/2012 19:59,Ja
254,168942.8,53.91123,-0.3007441,m,RENTAL,2/17/2012 19:59,Ja
255,40972.35,25.75346,1.137648,m,OWNER,2/17/2012 21:48,Nee
256,30479.3,24.28695,1.343644,m,OWNER,2/18/2012 2:24,Nee
257,74480.56,53.38648,-2.253371,f,RENTAL,2/18/2012 7:59,Nee
258,11843.81256,28.91105825,-0.017181715,m,RENTAL,2/18/2012 20:32,Nee
259,224859.8,48.32943,1.553641,f,OWNER,2/19/2012 6:55,Nee
260,92114.07,29.69036,1.274417,m,OWNER,2/19/2012 8:26,Ja
261,180532.2,49.97948,-0.005813336,f,RENTAL,2/20/2012 5:39,Ja
262,112463.8,31.34976,1.573666,m,OWNER,2/20/2012 8:55,Nee
263,35747.0748,20.93885508,1.690310596,m,OWNER,2/20/2012 10:33,Ja
264,46420.7,41.96569,-0.635466,m,RENTAL,2/20/2012 12:09,Nee
265,12390.85,24.10473,0.6994505,m,OWNER,2/20/2012 16:57,Nee
266,32672.06,57.41238,-2.20727,m,NA,2/20/2012 19:23,Nee
267,32672.06,57.41238,-2.20727,m,RENTAL,2/20/2012 19:23,Nee
268,74312.72,29.96305,1.620182,m,OWNER,2/20/2012 20:06,Nee
269,14068.89,33.27517,-0.5369475,m,RENTAL,2/21/2012 0:40,Nee
270,206300.3,45.61239,1.780901,f,OWNER,2/21/2012 7:45,Nee
271,NA,55.53953726,NA,NA,RENTAL,2/21/2012 10:22,Nee
272,48076.74916,55.53953726,-1.153316339,m,RENTAL,2/21/2012 10:22,Nee
273,256754.7,78.36842,-0.9211093,f,RENTAL,2/21/2012 12:18,Ja
274,59059.22713,54.39352798,NA,NA,RENTAL,2/22/2012 1:52,Nee
275,59059.22713,54.39352798,-1.283870408,m,RENTAL,2/22/2012 1:52,Nee
276,135414.7,68.84894,-0.9087594,f,RENTAL,2/22/2012 7:11,Nee
277,32652.38,43.95034,-0.6065557,m,RENTAL,2/22/2012 9:44,Ja
278,21122.32,31.57403,0.0349608,m,OWNER,2/22/2012 10:07,Ja
279,228649,56.15605,0.4302253,f,OWNER,2/22/2012 13:40,Nee
280,167186.3,42.80753,1.26558,f,OWNER,2/22/2012 17:48,Nee
281,160074.7,75.57727,-0.574176,f,RENTAL,2/22/2012 21:23,Nee
282,183839.6,47.18984,-1.292573,f,RENTAL,2/22/2012 23:01,Nee
283,323501.2,39.40896,1.300807,f,OWNER,2/23/2012 1:07,Ja
284,86064.71,37.19339,0.3019914,m,OWNER,2/23/2012 5:21,Ja
285,148218.4,74.63494,-1.01793,f,RENTAL,2/23/2012 14:00,Nee
286,23356.57,33.23141,-0.3514761,m,RENTAL,2/23/2012 14:21,Nee
287,152658.6,51.60528,1.209847,f,OWNER,2/23/2012 14:22,Nee
288,258753.4,51.27041,1.564517,f,OWNER,2/23/2012 19:12,Ja
289,81832.61,67.5943,-0.3547517,f,RENTAL,2/24/2012 18:05,Ja
290,210356.3,32.8935,0.08494432,f,OWNER,2/25/2012 5:51,Nee
291,75361.71,42.0171,-0.04959354,m,RENTAL,2/25/2012 6:55,Nee
292,195351.7,70.78525,-2.164975,f,RENTAL,2/25/2012 8:21,Nee
293,55574,56.85262,NA,NA,NA,2/25/2012 12:22,Ja
294,55574,56.85262,-1.407131,m,RENTAL,2/25/2012 12:22,Ja
295,99102.71,70.13157,-0.7938768,f,RENTAL,2/25/2012 20:16,Nee
296,46995.49268,37.09214281,0.01879964,m,OWNER,2/25/2012 20:49,Ja
297,4415.889222,28.53195547,-0.731784117,m,RENTAL,2/26/2012 3:18,Ja
298,114073.9,37.46964,-0.3989965,f,RENTAL,2/26/2012 4:44,Nee
299,96735.67,39.89896,0.5220714,m,OWNER,2/26/2012 5:07,Nee
300,63752.34,27.0356,1.314353,m,OWNER,2/26/2012 11:04,Nee
301,36010.67,72.76101,-5.969932,NA,RENTAL,2/26/2012 12:52,Nee
302,36010.67,72.76101,-5.969932,m,RENTAL,2/26/2012 12:52,Nee
303,74656.11,36.80024,-0.4103325,f,RENTAL,2/26/2012 14:33,Nee
304,8014.109,30.734,-0.6503202,m,RENTAL,2/27/2012 12:09,Nee
305,222257.3,51.84286,-0.2873631,f,RENTAL,2/27/2012 22:57,Nee
306,115667,29.47938,1.909086,m,OWNER,2/28/2012 2:07,Ja
307,247757,80.85176,-1.146684,f,RENTAL,2/28/2012 9:16,Nee
308,20350.18453,NA,-1.850761055,NA,RENTAL,2/28/2012 14:39,Nee
309,20350.18453,52.04711201,-1.850761055,m,RENTAL,2/28/2012 14:39,Nee
310,154949.9725,43.73223804,0.716336911,m,OWNER,2/28/2012 14:52,Nee
311,250468.8,60.14809,-0.1784834,f,RENTAL,2/28/2012 16:42,Nee
312,86210.78,30.39503,0.2893669,f,OWNER,2/28/2012 19:14,Nee
313,48573.44876,27.08828216,1.039887789,m,OWNER,2/29/2012 7:14,Ja
314,300036.4,62.65321,0.5398352,f,OWNER,3/1/2012 2:03,Ja
315,13517.9,41.6732,-1.260796,m,RENTAL,3/1/2012 8:36,Nee
316,NA,50.22377,NA,NA,RENTAL,3/1/2012 15:30,Nee
317,31760.24,50.22377,-1.342019,m,RENTAL,3/1/2012 15:30,Nee
318,47426.76468,28.58593319,1.037128676,m,OWNER,3/1/2012 18:55,Nee
319,33950.04,51.93824,-1.515184,NA,RENTAL,3/2/2012 8:19,Nee
320,33950.04,51.93824,-1.515184,m,RENTAL,3/2/2012 8:19,Nee
321,37413.9,22.60131,1.310616,m,OWNER,3/2/2012 9:15,Nee
322,136127.2,67.88541,-0.6574755,f,RENTAL,3/2/2012 17:02,Nee
323,83763.66,38.37385,0.09626801,m,OWNER,3/3/2012 1:13,Nee
324,23654.15,38.20579,-0.5975742,m,RENTAL,3/3/2012 3:50,Ja
325,128135.8,91.67989,-0.8651324,f,RENTAL,3/3/2012 11:13,Nee
326,14373.67,35.55636,-0.8309069,m,RENTAL,3/4/2012 2:53,Nee
327,97611.57,23.0679,3.049216,m,OWNER,3/4/2012 13:20,Ja
328,82286.95,35.71181,0.6947485,m,OWNER,3/4/2012 13:29,Nee
329,37171.25,35.99686,-0.1632146,m,RENTAL,3/4/2012 17:24,Nee
330,151235.2,65.58651,0.2130535,f,OWNER,3/4/2012 19:01,Nee
331,22162.30361,23.98024454,1.143322172,m,OWNER,3/5/2012 3:54,Nee
332,NA,59.70079,NA,NA,RENTAL,3/5/2012 6:49,Nee
333,73853.79,59.70079,-1.548755,m,RENTAL,3/5/2012 6:49,Nee
334,42636.04537,27.33409308,1.064830864,m,OWNER,3/5/2012 13:49,Ja
335,39855.26,19.09835,4.668761,m,OWNER,3/5/2012 17:46,Nee
336,12934.97442,35.51902727,-0.847322773,m,RENTAL,3/5/2012 19:36,Nee
337,52672.84,34.05585,0.2674918,m,OWNER,3/5/2012 21:29,Ja
338,NA,NA,-1.232823,NA,NA,3/5/2012 22:47,Ja
339,65583.89,52.75835,-1.232823,m,RENTAL,3/5/2012 22:47,Ja
340,174335.8,28.85493,1.635898,f,OWNER,3/6/2012 7:47,Ja
341,217925.9,68.19371,1.545099,f,OWNER,3/6/2012 14:06,Ja
342,117485.6,42.1051,0.6023801,f,OWNER,3/6/2012 16:10,Nee
343,62030.6,42.61026,-0.4156466,m,RENTAL,3/6/2012 19:06,Nee
344,66943.73,33.83138,0.1114081,m,OWNER,3/6/2012 20:23,Nee
345,40522.94,30.17601,0.3536177,m,OWNER,3/7/2012 9:58,Nee
346,265726.5,40.41007,2.149011,f,OWNER,3/7/2012 10:55,Ja
